id,importe,descripcion,iban,fechaImporte
133,-7.50,trabajo-desayuno,BBVA*3853,10/10/23
134,-83.16,Internet-movil,BBVA*3853,11/10/23
135,-24.31,Alimentacion,BBVA*3853,11/10/23
136,-2.00,cafe-residencia,BBVA*3853,11/10/23
137,-1.40,cafe-trabajo,BBVA*3853,11/10/23
138,-1.64,desayuno-trabajo,BBVA*3853,11/10/23
139,-100.00,Transaccion ayuda residencia,BBVA*3853,13/10/23
140,-24.71,Alimentacion,BBVA*3853,13/10/23
141,-3.05,cafe-trabajo,BBVA*3853,13/10/23
142,-7.50,trabajo-desayuno,BBVA*3853,13/10/23
143,-10.50,ocio-via larga Berga,BBVA*3853,14/10/23
144,-1.60,trabajo-cafe,BBVA*3853,16/10/23
145,-5.50,trabajo-desayuno,BBVA*3853,16/10/23
146,-1.45,residencia-cafe,BBVA*3853,16/10/23
147,-1.60,trabajo-cafe,BBVA*3853,17/10/23
148,-4.50,trabajo-desayuno,BBVA*3853,17/10/23
149,-1.40,trabajo-cafe,BBVA*3853,18/10/23
150,-1.45,residencia-cafe,BBVA*3853,18/10/23
151,-5.50,trabajo-desayuno,BBVA*3853,18/10/23
152,-30.00,Alimentacion,BBVA*3853,19/10/23
153,-6.41,desayuno-trabajo,BBVA*3853,19/10/23
154,-6.75,trabajo-desayuno,BBVA*3853,19/10/23
155,-1.60,trabajo-cafe,BBVA*3853,19/10/23
156,-1.35,trabajo-cafe,BBVA*3853,19/10/23
157,-28.04,Alimentacion,BBVA*3853,20/10/23
158,-2.95,trabajo-cafe,BBVA*3853,20/10/23
159,-3.11,trabajo-desayuno,BBVA*3853,20/10/23
160,-3.00,Bizum ocio salida,BBVA*3853,21/10/23
161,-23.61,suministro de luz,BBVA*3853,23/10/23
162,-6.90,trabajo-desayuno,BBVA*3853,23/10/23
163,-3.00,cerveza,BBVA*3853,23/10/23
164,-2.75,Higuiente-maquinillas,BBVA*3853,24/10/23
165,2.95,trabajo-cafe,BBVA*3853,24/10/23
166,-2.90,trabajo-desayuno,BBVA*3853,24/10/23
